id,text,swipe,district
37c8c8c8d6b25ff7fbd4bd92,hallgartenstraße 36,f,nordend-ost
37c8c8c8d6b25ff7fbd4bd92,wilhelm-beer-weg 103,f,sachsenhausen-s
37c8c8c8d6b25ff7fbd4bd92,theobald-christ-straße 12,f,ostend
37c8c8c8d6b25ff7fbd4bd92,emil-claar-straße 19,t,westend-süd
37c8c8c8d6b25ff7fbd4bd92,am kirchberg 12,t,eschersheim
37c8c8c8d6b25ff7fbd4bd92,palleskestraße 5,f,höchst
37c8c8c8d6b25ff7fbd4bd92,speyerer straße 9,f,gallus
37c8c8c8d6b25ff7fbd4bd92,mainkurstraße 41,f,bornheim
37c8c8c8d6b25ff7fbd4bd92,schlehenweg 29,t,frankfurter berg
3aee15b19708039525a6545a,haingrabenstraße 78,t,praunheim
37c8c8c8d6b25ff7fbd4bd92,grazer weg 26,t,oberrad
3aee15b19708039525a6545a,im sechholder 109,t,nied
37c8c8c8d6b25ff7fbd4bd92,geierskopfweg 10,f,zeilsheim
3aee15b19708039525a6545a,rangenbergstraße 35,t,bergen-enkheim
37c8c8c8d6b25ff7fbd4bd92,mainstraße 7,f,innenstadt
37c8c8c8d6b25ff7fbd4bd92,großer hasenpfad 37,t,sachsenhausen-s
3aee15b19708039525a6545a,karl-blum-allee 84,t,höchst
37c8c8c8d6b25ff7fbd4bd92,im burgfeld 223,t,heddernheim
3aee15b19708039525a6545a,briandring 7,t,sachsenhausen-s
7d7053bec0829151665e5976,zentmarkweg 37,f,rödelheim
37c8c8c8d6b25ff7fbd4bd92,wächtersbacher straße 51,t,fechenheim
7d7053bec0829151665e5976,alt-heddernheim 7,f,heddernheim
3aee15b19708039525a6545a,pfarrgäßchen 5,t,bonames
37c8c8c8d6b25ff7fbd4bd92,kölner straße 85,t,gallus
7d7053bec0829151665e5976,walter-vom-rath-straße 7,f,westend-nord
3aee15b19708039525a6545a,dornholzhäuser straße 20,t,bonames
37c8c8c8d6b25ff7fbd4bd92,hainbuchenstraße 49,t,schwanheim
7d7053bec0829151665e5976,paul-ehrlich-straße 9,f,sachsenhausen-n
3aee15b19708039525a6545a,wasserweg 10,t,sachsenhausen-n
37c8c8c8d6b25ff7fbd4bd92,inselsbergstraße 41,f,unterliederbach
7d7053bec0829151665e5976,am försterpfad 36,t,schwanheim
37c8c8c8d6b25ff7fbd4bd92,tränkweg 4,t,schwanheim
